"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"14987",450139,45,1,0,20,0,0,0,2,12,0,29169,0,0,0,0,0,0,0,2,63,0,4,3,7,2007,18,50,12,4,3,3,1,0,1,33.98187778,-81.23706111,0,1,28,1,5,4,0,96,97,1,8,5,0,0,10,13,11
"14988",450144,45,1,0,30,0,0,50,2,8,1,29448,0,0,0,0,0,0,0,3,53,0,7,3,26,2011,16,30,12,2,1,1,1,0,1,32.12181111,-81.06645833,0,1,99,1,5,4,0,0,0,1,8,0,7,0,0,12,1
"14989",450147,45,3,0,4,0,0,80,6,12,1,29039,0,0,0,0,0,0,0,3,75,0,6,3,20,2009,18,40,12,4,1,1,1,1,1,33.5233,-80.8427,0,1,51,1,5,4,0,0,0,8,8,0,7,0,0,11,1
"14990",450148,45,4,0,4,0,0,63,6,12,0,29506,1,0,0,1,1,2009,0,2,41,0,6,3,26,2010,10,20,12,6,1,1,1,0,1,34.24380833,-79.79709167,0,1,54,2,5,4,0,0,0,1,8,1,0,0,24,12,25
"14991",450151,45,1,1,99,0,0,999,9,8,0,99999,99,99,99,99,99,9999,1,1,45,1040,4,3,30,2011,0,7,8,0,1,3,10,0,1,34.86977222,-82.40275,0,1,50,1,5,4,0,96,97,1,8,0,7,0,0,13,1
"14992",450165,45,1,0,4,0,0,65,6,42,0,29642,0,0,0,0,0,0,0,3,31,0,6,4,2,2010,15,53,34,0,4,1,1,1,1,34.38205,-79.96733611,0,1,36,1,5,4,0,0,0,0,0,0,7,0,0,12,1
"14993",450169,45,1,0,31,0,0,75,6,42,1,29325,0,0,0,0,0,0,0,1,59,0,3,4,1,2008,5,25,42,0,4,2,5,1,1,34.5235,-81.8501,0,1,34,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"14994",450171,45,1,0,4,0,0,50,0,8,0,29525,0,0,0,0,0,0,0,1,15,0,4,4,13,2011,15,11,35,0,3,1,1,0,1,33.07405278,-80.195325,0,1,26,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"14995",450173,45,1,0,31,0,0,55,6,42,1,29153,0,0,0,0,0,0,0,1,67,0,5,4,14,2011,9,5,45,0,1,1,1,0,1,34.12831111,-79.365425,0,1,48,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"14996",450174,45,1,0,14,0,0,55,6,42,1,28340,0,0,0,0,5,2009,1,3,33,0,4,4,2,2008,21,26,8,0,1,3,1,0,1,34.4774,-79.3567,0,1,70,1,5,4,0,0,0,1,8,0,7,0,0,12,1
