NAME,crshcnt00,crshcnt01,crshcnt02,crshcnt03,crshcnt04,crshcnt05,crshcnt06,crshcnt07,crshcnt08,crshcnt09,crshcnt10,crshcnt11,crshcnt12,crshcnt13,crshcnt14,crshcnt15,crshcnt16,crshcnt00ad,crshcnt01ad,crshcnt02ad,crshcnt03ad,crshcnt04ad,crshcnt05ad,crshcnt06ad,crshcnt07ad,crshcnt08ad,crshcnt09ad,crshcnt10ad,crshcnt11ad,crshcnt12ad,crshcnt13ad,crshcnt14ad,crshcnt15ad,crshcnt16ad,pop00,pop01,pop02,pop03,pop04,pop05,pop06,pop07,pop08,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,diff0001,diff0102,diff0203,diff0304,diff0405,diff0506,diff0607,diff0708,diff0809,diff0910,diff1011,diff1112,diff1213,diff1314,diff1415,diff1516,crshcnt00per,crshcnt01per,crshcnt02per,crshcnt03per,crshcnt04per,crshcnt05per,crshcnt06per,crshcnt07per,crshcnt08per,crshcnt09per,crshcnt10per,crshcnt11per,crshcnt12per,crshcnt13per,crshcnt14per,crshcnt15per,crshcnt16per,per0001,per0102,per0203,per0304,per0405,per0506,per0607,per0708,per0809,per0910,per1011,per1112,per1213,per1314,per1415,per1516,pop0001,pop0102,pop0203,pop0304,pop0405,pop0506,pop0607,pop0708,pop0809,pop0910,pop1011,pop1112,pop1213,pop1314,pop1415,pop1516,crshavg0206,crshavg0711,crshavg1216,avg0211,avg0716,avg0211per,avg0716per
Michigan,170,162,174,166,137,137,136,131,114,118,128,137,130,148,148,166,162,253,245,257,249,220,220,219,214,197,201,211,220,213,231,231,249,245,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727,9877495,9876213,9887238,9898982,9915767,9917715,9928300,-8,12,-8,-29,0,-1,-5,-17,4,10,9,-7,18,0,18,-4,17.07631748,16.19013535,17.33280591,16.49058333,13.57873511,13.57705434,13.48880102,13.03372741,11.39716666,11.83583061,12.95875118,13.87171378,13.14826244,14.95103234,14.92572385,16.73772638,16.31699284,-0.031620553,0.048979592,-0.031128405,-0.116465863,0,-0.004545455,-0.02283105,-0.079439252,0.020304569,0.049751244,0.042654028,-0.031818182,0.084507042,0,0.077922078,-0.016064257,-0.803591411,1.199269285,-0.796910617,-2.88088504,0,-0.099102586,-0.495911802,-1.69139974,0.399900585,1.003036492,0.911162192,-0.708773697,1.820528645,0,1.814934186,-0.402888712,14.89359594,12.61943793,15.21594757,-2.274158013,2.59650964,-0.143086437,0.190647342
Minnesota,38,43,50,53,37,44,38,33,25,42,35,39,38,32,15,39,58,125,130,137,140,124,131,125,120,112,129,122,126,125,119,102,126,145,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214,5311147,5348562,5380285,5418521,5453109,5482435,5519952,5,7,3,-16,7,-6,-5,-8,17,-7,4,-1,-6,-17,24,19,7.701727497,8.629663606,9.965205489,10.49949464,7.28440523,8.616367966,7.3810113,6.356904349,4.779596552,7.975369022,6.589913629,7.291679521,7.06282288,5.90567057,2.750724403,7.11362743,10.50733774,0.04,0.053846154,0.02189781,-0.114285714,0.056451613,-0.045801527,-0.04,-0.066666667,0.151785714,-0.054263566,0.032786885,-0.007936508,-0.048,-0.142857143,0.235294118,0.150793651,1.013385197,1.404828959,0.597912329,-3.169658759,1.378130719,-1.174959268,-0.971185697,-1.541067721,3.250125656,-1.32922817,0.753132986,-0.186966142,-1.11518256,-3.13738749,4.37761688,3.442058916,8.749296924,6.598692615,6.668036606,-2.15060431,0.069343991,-0.220590708,0.009125779
Mississippi,64,59,55,40,44,72,56,58,50,58,50,47,48,53,53,63,58,146,141,137,122,126,154,138,140,132,140,132,129,130,135,135,145,140,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996,2970322,2978162,2984945,2990482,2992400,2989390,2988726,-5,-4,-15,4,28,-16,2,-8,8,-8,-3,1,5,0,10,-5,22.46946435,20.67771745,19.23989809,13.94856745,15.24598355,24.82659314,19.3293409,19.85130007,17.00557647,19.6477231,16.83319182,15.7815458,16.0806983,17.72289551,17.71153589,21.0745336,19.40626207,-0.034246575,-0.028368794,-0.109489051,0.032786885,0.222222222,-0.103896104,0.014492754,-0.057142857,0.060606061,-0.057142857,-0.022727273,0.007751938,0.038461538,0,0.074074074,-0.034482759,-1.755426902,-1.401879149,-5.247244934,1.394856745,9.701989532,-5.517020698,0.690333604,-2.738110355,2.720892235,-2.710030772,-1.009991509,0.33577757,1.67507274,0,3.345164064,-1.672953626,18.51807663,17.82386745,18.39918507,-0.694209175,0.575317621,-0.035567499,0.0305632
Missouri,88,83,87,78,81,88,76,79,63,68,55,75,84,73,65,104,96,203,198,202,193,196,203,191,194,178,183,170,190,199,188,180,219,211,5606065,5643986,5680852,5714847,5758444,5806639,5861572,5909824,5956335,5987580,5996118,6010717,6025415,6042711,6060930,6076204,6093000,-5,4,-9,3,7,-12,3,-16,5,-13,20,9,-11,-8,39,-8,15.69728499,14.70591883,15.31460422,13.64865936,14.06629985,15.15506647,12.96580508,13.36757237,10.57697393,11.356842,9.17260134,12.47771273,13.94094847,12.08067041,10.72442678,17.11594937,15.75578533,-0.024630542,0.02020202,-0.044554455,0.015544041,0.035714286,-0.0591133,0.015706806,-0.082474227,0.028089888,-0.071038251,0.117647059,0.047368421,-0.055276382,-0.042553191,0.216666667,-0.03652968,-0.891891193,0.70871898,-1.584269402,0.524948437,1.21560616,-2.066599973,0.511808095,-2.707356429,0.839442375,-2.17116097,3.335491396,1.497325527,-1.825600394,-1.323909087,6.418481012,-1.312982111,14.230087,11.39034047,13.92355607,-2.839746524,2.533215599,-0.186456356,0.204450847
Montana,11,9,14,9,7,13,12,15,11,15,8,15,8,24,10,14,11,67,65,70,65,63,69,68,71,67,71,64,71,64,80,66,70,67,903293,905873,909868,916750,925887,934801,946230,957225,968035,974989,990641,997821,1005196,1014314,1022867,1032073,1042520,-2,5,-5,-2,6,-1,3,-4,4,-7,7,-7,16,-14,4,-3,12.1776655,9.935167512,15.38684732,9.817289337,7.560317836,13.90670314,12.68190609,15.67029695,11.3632255,15.38478896,8.075579347,15.03275638,7.958646871,23.66131198,9.776442099,13.56493194,10.55135633,-0.029850746,0.076923077,-0.071428571,-0.030769231,0.095238095,-0.014492754,0.044117647,-0.056338028,0.059701493,-0.098591549,0.109375,-0.098591549,0.25,-0.175,0.060606061,-0.042857143,-2.214120999,5.519537507,-5.495302615,-2.181619853,6.480272431,-1.069746395,3.170476523,-4.178745854,4.132082001,-7.17956818,7.066131929,-7.015286309,15.91729374,-13.80243199,3.875694839,-2.877642635,11.87061274,13.10532943,13.10253784,1.234716682,-0.002791584,0.095933015,-0.00019791
Nebraska,20,12,12,12,9,8,9,8,5,9,8,7,15,12,9,19,12,113,105,105,105,102,101,102,101,98,102,101,100,108,105,102,112,105,1713345,1717948,1725083,1733680,1742184,1751721,1760435,1769912,1781949,1796619,1830051,1842283,1855725,1868559,1881145,1893765,1907116,-8,0,0,-3,-1,1,-1,-3,4,-1,-1,8,-3,-3,10,-7,11.67307227,6.985077546,6.956187036,6.921692585,5.165929661,4.566937315,5.112372794,4.519998734,2.805916443,5.009409341,4.371462872,3.79963339,8.083094208,6.422061064,4.784320188,10.03292383,6.292223441,-0.07079646,0,0,-0.028571429,-0.009803922,0.00990099,-0.009803922,-0.02970297,0.040816327,-0.009803922,-0.00990099,0.08,-0.027777778,-0.028571429,0.098039216,-0.0625,-4.669228906,0,0,-1.730423146,-0.573992185,0.570867164,-0.568041422,-1.694999525,2.244733155,-0.556601038,-0.546432859,4.34243816,-1.616618842,-1.605515266,5.280486227,-3.670463674,5.744623878,4.101284156,7.122924547,-1.643339722,3.021640391,-0.243651796,0.592329362
Nevada,43,45,52,65,60,63,51,52,56,35,36,46,55,65,71,66,80,60,62,69,82,77,80,68,69,73,52,53,63,72,82,88,83,97,2018211,2094509,2166214,2236949,2328703,2408804,2493405,2567752,2615772,2643085,2703284,2718379,2752565,2786464,2833013,2883758,2940058,2,7,13,-5,3,-12,1,4,-21,1,10,9,10,6,-5,14,21.30599823,21.48474893,24.0050152,29.05743493,25.76541534,26.1540582,20.45395754,20.2511769,21.40859372,13.24210156,13.31713575,16.92184938,19.98136284,23.32705536,25.06165697,22.88680257,27.21034755,0.033333333,0.112903226,0.188405797,-0.06097561,0.038961039,-0.15,0.014705882,0.057971014,-0.287671233,0.019230769,0.188679245,0.142857143,0.138888889,0.073170732,-0.056818182,0.168674699,0.990976662,3.342072056,6.0012538,-2.235187302,1.288270767,-4.981725371,0.401057991,1.557782839,-8.028222643,0.378345759,3.699204375,3.310796618,3.632975061,2.153266649,-1.733848679,4.761810821,25.08717624,17.02817146,23.69344506,-8.059004779,6.665273596,-0.308925915,0.369714345
New Hampshire,7,9,6,19,15,5,6,13,7,8,9,5,8,12,12,8,17,17,19,16,29,25,15,16,23,17,18,19,15,18,22,22,18,27,1240446,1256879,1271163,1281871,1292766,1301415,1311894,1317343,1321872,1324575,1316872,1318473,1321182,1322687,1328743,1330111,1334795,2,-3,13,-4,-10,1,7,-6,1,1,-4,3,4,0,-4,9,5.643131583,7.16059382,4.720087038,14.82208428,11.60302793,3.841972007,4.57354024,9.868348638,5.295520292,6.039673103,6.834377221,3.79226575,6.055183919,9.072441175,9.031091791,6.014535629,12.73603812,0.117647059,-0.157894737,0.8125,-0.137931034,-0.4,0.066666667,0.4375,-0.260869565,0.058823529,0.055555556,-0.210526316,0.2,0.222222222,0,-0.181818182,0.5,1.61232331,-2.386864607,10.22685525,-3.120438796,-7.735351951,0.768394401,5.335796947,-4.554622448,0.756502899,0.754959138,-3.037500987,2.27535945,3.027591959,0,-3.007267814,6.742608416,7.912142299,6.366037001,8.581858126,-1.546105298,2.215821125,-0.173483013,0.30081591
New Jersey,145,132,177,137,152,153,164,149,135,158,139,142,156,129,168,170,162,166,153,198,158,173,174,185,170,156,179,160,163,177,150,189,191,183,8430921,8489469,8544115,8583481,8611530,8621837,8623721,8636043,8663398,8707739,8803729,8841243,8873211,8899162,8925001,8935421,8944469,-13,45,-40,15,1,11,-15,-14,23,-19,3,14,-27,39,2,-8,17.1985955,15.54867566,20.7160133,15.96089046,17.65075428,17.7456382,19.01731283,17.25327213,15.58280019,18.14477903,15.78876406,16.06109005,17.58100872,14.4957469,18.8235273,19.02540462,18.11175152,-0.078313253,0.294117647,-0.202020202,0.094936709,0.005780347,0.063218391,-0.081081081,-0.082352941,0.147435897,-0.106145251,0.01875,0.085889571,-0.152542373,0.26,0.010582011,-0.041884817,-1.541943045,5.300684884,-4.681584927,1.747542751,0.116123383,1.275830197,-1.739388368,-1.621112818,2.65484744,-2.181967098,0.340764692,1.583487752,-3.042866895,4.38243511,0.22382829,-0.894407482,18.21812181,16.56614109,17.60748781,-1.651980722,1.041346723,-0.08595953,0.059281473
New Mexico,48,72,60,51,56,61,69,52,39,39,33,39,61,49,75,54,73,81,105,93,84,89,94,102,85,72,72,66,72,94,82,108,87,106,1820813,1828809,1850035,1869683,1891829,1916538,1942608,1968731,1986763,2009671,2064756,2077756,2083784,2085193,2083024,2080328,2081015,24,-12,-9,5,5,8,-17,-13,0,-6,6,22,-12,26,-21,19,26.36185045,39.36988499,32.43181886,27.27735129,29.60098402,31.8282236,35.51926071,26.41295332,19.62992063,19.40616151,15.98251803,18.77025021,29.27366752,23.49902383,36.00534607,25.95744517,35.07903595,0.296296296,-0.114285714,-0.096774194,0.05952381,0.056179775,0.085106383,-0.166666667,-0.152941176,0,-0.083333333,0.090909091,0.305555556,-0.127659574,0.317073171,-0.194444444,0.218390805,13.18092522,-6.561647498,-4.864772829,2.674250127,2.642945002,4.174193259,-8.751122203,-6.60323833,0,-2.985563309,2.905912369,10.58834627,-5.758754266,12.46886979,-10.09456201,9.130160042,31.3315277,20.04036074,29.96290371,-11.29116696,9.92254297,-0.349230852,0.471595668
New York,335,356,337,334,317,322,312,276,297,308,303,287,303,336,264,307,304,397,418,399,396,379,384,374,338,359,370,365,349,365,398,326,369,366,18998044,19088978,19161873,19231101,19297933,19330891,19356564,19422777,19467789,19541453,19402640,19519529,19602769,19673546,19718515,19747183,19745289,21,-19,-3,-17,5,-10,-36,21,11,-5,-16,16,33,-72,43,-3,17.63339426,18.64950549,17.58700728,17.36770037,16.42662973,16.65727669,16.11856319,14.21012042,15.25596975,15.76136636,15.61643158,14.70322363,15.45699998,17.07877167,13.38843214,15.54652124,15.39607751,0.052896725,-0.045454545,-0.007518797,-0.042929293,0.013192612,-0.026041667,-0.096256684,0.062130178,0.030640669,-0.013513514,-0.043835616,0.045845272,0.090410959,-0.180904523,0.13190184,-0.008130081,1.105376954,-0.995338776,-0.156560896,-0.883984749,0.259095106,-0.517306729,-1.859834214,1.081204814,0.565035917,-0.255866337,-0.82463005,0.81969191,1.683435641,-3.659736786,2.177525777,-0.151934975,16.83143545,15.10942235,15.37336051,-1.722013107,0.263938162,-0.09657176,0.016384086
North Carolina,159,149,176,153,161,164,172,172,160,146,169,161,200,174,172,182,200,259,249,276,253,261,264,272,272,260,246,269,261,300,274,272,282,300,8079383,8203451,8316617,8416451,8531283,8669452,8866977,9064074,9247134,9380884,9558915,9650963,9746175,9841590,9934399,10035186,10146788,-10,27,-23,8,3,8,0,-12,-14,23,-8,39,-26,-2,10,18,19.67972059,18.16308771,21.16245103,18.17868363,18.87172187,18.91699729,19.39781732,18.97601454,17.30265832,15.56356522,17.67983082,16.68227305,20.52087101,17.68006999,17.31357881,18.13618602,19.710671,-0.038610039,0.108433735,-0.083333333,0.031620553,0.011494253,0.03030303,0,-0.044117647,-0.053846154,0.093495935,-0.029739777,0.149425287,-0.086666667,-0.00729927,0.036764706,0.063829787,-1.237718276,3.291297772,-2.765547578,0.950519405,0.351646991,0.922780356,0,-1.323907991,-1.513982603,2.451794522,-0.836915068,4.04104751,-2.667713231,-0.203219195,0.996493737,1.77396039,19.30553423,17.24086839,18.67227536,-2.064665838,1.431406975,-0.101679957,0.078472524
North Dakota,5,3,2,7,5,9,4,5,6,4,7,9,7,1,9,7,7,58,56,55,60,58,62,57,58,59,57,60,62,60,54,62,60,60,641200,636267,633617,632809,636303,635365,636771,638202,641421,646844,674526,685476,702087,724019,739904,756835,757952,-2,-1,5,-2,4,-5,1,1,-2,3,2,-2,-6,8,-2,0,7.797878977,4.715001721,3.156480966,11.06178958,7.857891602,14.16508621,6.281693105,7.834510077,9.354230685,6.183871227,10.37765779,13.12956252,9.970274339,1.381179223,12.16374016,9.249043715,9.235413324,-0.034482759,-0.017857143,0.090909091,-0.033333333,0.068965517,-0.080645161,0.01754386,0.017241379,-0.033898305,0.052631579,0.033333333,-0.032258065,-0.1,0.148148148,-0.032258065,0,-3.119151591,-1.57166724,7.891202414,-3.160511308,6.286313282,-7.869492339,1.570423276,1.566902015,-3.118076895,4.63790342,2.965045084,-2.917680561,-8.545949434,11.04943379,-2.642583919,0,8.504588292,9.375966461,8.399930153,0.871378169,-0.976036308,0.091679738,-0.094067026
Ohio,97,99,87,99,94,95,96,108,99,85,93,104,113,85,87,116,134,185,187,175,187,182,183,184,196,187,173,181,192,201,173,175,204,222,11363844,11396874,11420981,11445180,11464593,11475262,11492495,11520815,11528072,11542645,11540983,11544824,11550839,11570022,11594408,11605090,11614373,2,-12,12,-5,1,1,12,-9,-14,8,11,9,-28,2,29,18,8.535844033,8.686592481,7.617559297,8.64992949,8.199157179,8.278678082,8.353277508,9.374336798,8.587732623,7.363996727,8.05823906,9.008366,9.782839151,7.346572029,7.503617261,9.995613994,11.53742867,0.010810811,-0.064171123,0.068571429,-0.026737968,0.005494505,0.005464481,0.065217391,-0.045918367,-0.07486631,0.046242775,0.060773481,0.046875,-0.139303483,0.011560694,0.165714286,0.088235294,0.175996784,-1.052920301,1.050697834,-0.436865126,0.087225076,0.08714398,1.044159689,-0.781194733,-1.214426836,0.693082045,0.95312505,0.779570135,-2.424066338,0.172860518,2.498903498,1.549803851,8.219720311,8.478534242,9.23321422,0.25881393,0.754679979,0.028071777,0.079619903
Oklahoma,43,49,54,37,50,50,46,67,50,32,62,43,65,58,50,69,87,120,126,131,114,127,127,123,144,127,109,139,120,142,135,127,146,164,3453943,3464729,3484754,3498687,3514449,3532769,3574334,3612186,3644025,3687050,3759603,3786274,3817054,3852415,3877499,3907414,3923561,6,5,-17,13,0,-4,21,-17,-18,30,-19,22,-7,-8,19,18,12.44953956,14.14252024,15.49607232,10.57539586,14.22698124,14.1532039,12.86953038,18.54832503,13.72109138,8.679025237,16.49110292,11.35681147,17.02883952,15.05549117,12.89490984,17.65873798,22.17373452,0.05,0.03968254,-0.129770992,0.114035088,0,-0.031496063,0.170731707,-0.118055556,-0.141732283,0.275229358,-0.136690647,0.183333333,-0.049295775,-0.059259259,0.149606299,0.123287671,1.737145054,1.44311431,-4.878393138,3.715679625,0,-1.132256312,5.875220391,-4.706291426,-4.939592895,8.13658616,-5.053725087,5.810461683,-1.833875025,-2.076619471,4.862551038,4.587669212,13.46423674,13.75927121,16.9623426,0.295034466,3.203071398,0.020397514,0.217020973
Oregon,50,58,48,46,43,48,47,48,51,35,56,46,55,48,57,69,72,86,94,84,82,79,84,83,84,87,71,92,82,91,84,93,105,108,3430891,3470382,3517111,3550180,3573505,3617869,3677545,3732957,3782991,3825657,3838048,3868031,3899116,3925751,3968371,4024634,4093465,8,-10,-2,-3,5,-1,1,3,-16,21,-10,9,-7,9,12,3,14.57347377,16.71285755,13.64756472,12.9570895,12.03300401,13.26747873,12.7802651,12.85843903,13.48139607,9.148755364,14.5907503,11.89235557,14.10576141,12.22695989,14.36357639,17.14441611,17.58901078,0.093023256,-0.106382979,-0.023809524,-0.036585366,0.063291139,-0.011904762,0.012048193,0.035714286,-0.183908046,0.295774648,-0.108695652,0.109756098,-0.076923077,0.107142857,0.129032258,0.028571429,2.331755803,-2.881527163,-0.56864853,-0.845027576,1.399186513,-0.276405807,0.271920534,0.80365244,-4.229457591,5.489253218,-2.605491125,2.32676522,-1.795278725,2.292554979,2.981637585,0.732875449,12.93708041,12.39433927,15.08594491,-0.542741144,2.691605648,-0.038942241,0.200950983
Pennsylvania,170,188,153,170,150,159,166,151,137,134,145,147,163,147,161,151,169,237,255,220,237,217,226,233,218,204,201,212,214,230,214,228,218,236,12285504,12299533,12326302,12357524,12388368,12418161,12471142,12522531,12566368,12604767,12712343,12744293,12771854,12781338,12790565,12791904,12784227,18,-35,17,-20,9,7,-15,-14,-3,11,2,16,-16,14,-10,18,13.83744615,15.28513318,12.41248186,13.75680112,12.1081324,12.8038282,13.31072968,12.05826522,10.90211587,10.63089861,11.40623723,11.53457473,12.76243841,11.50114331,12.58740329,11.80434125,13.21941483,0.075949367,-0.137254902,0.077272727,-0.084388186,0.041474654,0.030973451,-0.064377682,-0.064220183,-0.014705882,0.054726368,0.009433962,0.074766355,-0.069565217,0.065420561,-0.043859649,0.082568807,1.465141357,-2.845636497,1.379164651,-1.618447191,0.726487944,0.56369055,-1.202776779,-1.117984855,-0.238732464,0.872685707,0.15732741,1.255463916,-1.25275469,1.095346982,-0.781744453,1.407985012,12.87839465,11.30641833,12.37494822,-1.571976321,1.068529884,-0.113267879,0.086827041
Rhode Island,6,10,9,13,7,14,15,13,12,16,9,14,5,14,14,8,14,11,15,14,18,12,19,20,18,17,21,14,19,10,19,19,13,19,1050736,1058051,1066034,1071504,1071414,1064989,1060196,1055009,1053502,1053209,1053337,1052451,1052901,1053033,1054480,1055607,1056426,4,-1,4,-6,7,1,-2,-1,4,-7,5,-9,9,0,-6,6,5.710283078,9.451340247,8.442507462,12.13247921,6.533422188,13.14567568,14.14832729,12.32216976,11.39058113,15.19166661,8.544274055,13.30228201,4.748784549,13.29492998,13.27668614,7.578578012,13.25222969,0.363636364,-0.066666667,0.285714286,-0.333333333,0.583333333,0.052631579,-0.1,-0.055555556,0.235294118,-0.333333333,0.357142857,-0.473684211,0.9,0,-0.315789474,0.461538462,3.806855385,-0.945134025,3.752225539,-5.599605788,6.533422188,0.938976835,-1.886443639,-0.947859213,3.796860376,-6.646354142,4.746818919,-8.551467004,8.547812187,0,-5.683933509,5.679527009,10.88048237,12.15019471,10.43024167,1.269712347,-1.71995304,0.106873804,-0.130792971
South Carolina,82,106,98,80,86,98,128,108,101,89,90,113,123,100,107,123,144,128,152,144,126,132,144,174,154,147,135,136,159,169,146,153,169,190,4023570,4062701,4103934,4146474,4201306,4256199,4339399,4424232,4503280,4561242,4635943,4672637,4720760,4767894,4828430,4894834,4961119,24,-8,-18,6,12,30,-20,-7,-12,1,23,10,-23,7,16,21,20.37991137,26.09101679,23.87952633,19.29350094,20.46982534,23.02523919,29.4971723,24.41101642,22.42809685,19.51222934,19.41352601,24.18334658,26.05512672,20.97362064,22.16041239,25.12853347,29.02570972,0.1875,-0.052631579,-0.125,0.047619048,0.090909091,0.208333333,-0.114942529,-0.045454545,-0.081632653,0.007407407,0.169117647,0.062893082,-0.136094675,0.047945205,0.104575163,0.124260355,5.964852109,-1.969133343,-4.386035448,1.44701257,2.856254698,7.048542608,-4.608933173,-1.582195509,-2.664724379,0.219238532,4.961234424,2.140119166,-4.872096866,1.468153445,3.268752321,4.232916001,23.23305282,21.98964304,24.66868059,-1.243409777,2.679037547,-0.051310488,0.116532368
South Dakota,11,11,8,8,8,11,3,7,6,3,7,6,2,9,9,5,4,76,76,73,73,73,76,68,72,71,68,72,71,67,74,74,70,69,743138,746315,749125,753843,761126,766732,774882,783429,790891,798656,802684,810484,820370,830746,838289,843536,851039,0,-3,0,0,3,-8,4,-1,-3,4,-1,-4,7,0,-4,-1,14.80209598,14.7390847,10.67912565,10.6122893,10.51074329,14.34660351,3.871557218,8.935078992,7.586380424,3.756310602,8.720741911,7.402983896,2.437924351,10.83363627,10.73615424,5.927429298,4.700137127,0,-0.039473684,0,0,0.04109589,-0.105263158,0.058823529,-0.013888889,-0.042253521,0.058823529,-0.013888889,-0.056338028,0.104477612,0,-0.054054054,-0.014285714,0,-4.019750374,0,0,3.941528735,-10.43389346,5.16207629,-1.276439856,-3.793190212,5.008414136,-1.245820273,-4.935322597,8.532735229,0,-4.741943438,-1.175034282,10.00406379,7.280299165,6.927056257,-2.723764627,-0.353242908,-0.247523522,-0.042660646
Tennessee,99,77,72,96,83,70,89,69,60,71,87,80,67,80,86,104,97,194,172,167,191,178,165,184,164,155,166,182,175,162,175,181,199,192,5703243,5755443,5803306,5856522,5916762,5995748,6089453,6172862,6240456,6296254,6356671,6397634,6454306,6494821,6544663,6595056,6651194,-22,-5,24,-13,-13,19,-20,-9,11,16,-7,-13,13,6,18,-7,17.35854495,13.37864001,12.40672127,16.39198145,14.02794299,11.67494031,14.61543426,11.17795927,9.614682004,11.27654634,13.68640913,12.5046228,10.3806668,12.31750652,13.14047797,15.76938846,14.58384765,-0.113402062,-0.029069767,0.143712575,-0.068062827,-0.073033708,0.115151515,-0.108695652,-0.054878049,0.070967742,0.096385542,-0.038461538,-0.074285714,0.080246914,0.034285714,0.099447514,-0.035175879,-3.857454434,-0.868742858,4.135573757,-2.219747488,-2.197147697,3.168912369,-3.284367249,-1.457994687,1.762691701,2.541193541,-1.101205332,-2.032001205,2.01415923,0.923812989,2.729317234,-1.052442614,13.82340406,11.65204391,13.23837748,-2.171360147,1.586333573,-0.146481884,0.125381605
Texas,417,449,418,401,447,427,385,410,435,350,349,425,482,480,479,537,672,671,703,672,655,701,681,639,664,689,604,603,679,736,734,733,791,926,20945963,21332847,21710788,22057801,22418319,22801920,23369024,23837701,24304290,24782302,25244310,25646389,26071655,26473525,26944751,27429639,27862596,32,-31,-17,46,-20,-42,25,25,-85,-1,76,57,-2,-1,58,135,19.90837089,21.04735481,19.25310127,18.17950937,19.93905074,18.72649321,16.47480015,17.19964522,17.89807478,14.1229818,13.82489757,16.57153372,18.48751067,18.13132176,17.77711733,19.57736301,24.11835566,0.047690015,-0.044096728,-0.025297619,0.070229008,-0.02853067,-0.061674009,0.039123631,0.037650602,-0.123367199,-0.001655629,0.126036484,0.083946981,-0.002717391,-0.001362398,0.079126876,0.170670038,1.527740692,-1.453158127,-0.783020865,2.085430003,-0.89212755,-1.841950152,1.069792217,1.048758855,-3.497324958,-0.040351377,3.010579414,2.22253511,-0.076711663,-0.037773587,2.114501033,4.845205379,18.51459095,15.92342662,19.61833369,-2.59116433,3.694907071,-0.132780868,0.218330906
Utah,33,33,25,28,25,20,29,32,32,19,28,30,28,28,32,46,35,62,62,54,57,54,49,58,61,61,48,57,59,57,57,61,75,64,2244314,2291250,2334473,2379938,2438915,2499637,2583724,2663796,2727343,2784572,2775326,2816124,2855782,2902663,2941836,2990632,3051217,0,-8,3,-3,-5,9,3,0,-13,9,2,-2,0,4,14,-11,14.70382487,14.40261866,10.70905511,11.76501237,10.25045973,8.001161769,11.22410908,12.01293192,11.73303101,6.823310728,10.08890487,10.65294,9.804669964,9.646314436,10.87756082,15.38136421,11.47083279,0,-0.129032258,0.055555556,-0.052631579,-0.092592593,0.183673469,0.051724138,0,-0.213114754,0.1875,0.035087719,-0.033898305,0,0.070175439,0.229508197,-0.146666667,0,-3.491543917,1.285086613,-1.260537039,-2.050091947,3.600522796,1.161114732,0,-4.766543849,3.232094555,0.720636062,-0.710196,0,1.378044919,4.681284759,-3.605118876,10.38995961,10.26222371,11.43614844,-0.127735904,1.173924736,-0.011214781,0.104235608
Vermont,7,5,4,7,7,3,0,4,1,5,4,3,10,5,5,5,4,21,19,18,21,21,17,14,18,15,19,18,17,24,19,19,19,18,609903,612153,614950,616559,618145,618814,619985,620460,621049,621760,625982,626730,626444,627140,626984,626088,624594,-2,-1,3,0,-4,-3,4,-3,4,-1,-1,7,-5,0,0,-1,11.4772349,8.167892667,6.504593869,11.35333358,11.32420387,4.847983401,0,6.446829771,1.610178907,8.041688111,6.389960095,4.786750275,15.96311881,7.97270147,7.974685159,7.986097801,6.404160142,-0.095238095,-0.052631579,0.166666667,0,-0.19047619,-0.176470588,0.285714286,-0.166666667,0.266666667,-0.052631579,-0.055555556,0.411764706,-0.208333333,0,0,-0.052631579,-3.279209973,-1.633578533,4.878445402,0,-6.470973639,-4.847983401,6.451768994,-4.835122329,6.440715628,-1.608337622,-1.597490024,11.16908398,-7.981559405,0,0,-1.601040036,6.806022944,5.455081432,9.260152677,-1.350941512,3.805071245,-0.173063995,0.589469131
Virginia,92,101,88,86,85,88,82,88,75,74,73,73,97,75,88,77,122,225,234,221,219,218,221,215,221,208,207,206,206,230,208,221,210,255,7098219,7184971,7277251,7367448,7462675,7557633,7640753,7713457,7789109,7876240,8025773,8110035,8192048,8262692,8317372,8367587,8411808,9,-13,-2,-1,3,-6,6,-13,-1,-1,0,24,-22,13,-11,45,12.96099768,14.05712006,12.09247833,11.67297007,11.39001765,11.64385728,10.73192655,11.40863299,9.628829177,9.395346003,9.095697075,9.0011942,11.84075093,9.076944899,10.58026502,9.202175012,14.50342186,0.04,-0.055555556,-0.009049774,-0.00456621,0.013761468,-0.027149321,0.027906977,-0.058823529,-0.004807692,-0.004830918,0,0.116504854,-0.095652174,0.0625,-0.049773756,0.214285714,1.267923686,-1.809332285,-0.274829053,-0.13573221,0.402000623,-0.79389936,0.785262918,-1.685366237,-0.128384389,-0.126964135,0,2.959296723,-2.685531139,1.573337116,-1.31459643,5.349622816,11.50624998,9.705939889,11.04071154,-1.800310087,1.334771654,-0.143952831,0.124675803
