NAME,crshcnt00,crshcnt01,crshcnt02,crshcnt03,crshcnt04,crshcnt05,crshcnt06,crshcnt07,crshcnt08,crshcnt09,crshcnt10,crshcnt11,crshcnt12,crshcnt13,crshcnt14,crshcnt15,crshcnt16,crshcnt00ad,crshcnt01ad,crshcnt02ad,crshcnt03ad,crshcnt04ad,crshcnt05ad,crshcnt06ad,crshcnt07ad,crshcnt08ad,crshcnt09ad,crshcnt10ad,crshcnt11ad,crshcnt12ad,crshcnt13ad,crshcnt14ad,crshcnt15ad,crshcnt16ad,pop00,pop01,pop02,pop03,pop04,pop05,pop06,pop07,pop08,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,diff0001,diff0102,diff0203,diff0304,diff0405,diff0506,diff0607,diff0708,diff0809,diff0910,diff1011,diff1112,diff1213,diff1314,diff1415,diff1516,crshcnt00per,crshcnt01per,crshcnt02per,crshcnt03per,crshcnt04per,crshcnt05per,crshcnt06per,crshcnt07per,crshcnt08per,crshcnt09per,crshcnt10per,crshcnt11per,crshcnt12per,crshcnt13per,crshcnt14per,crshcnt15per,crshcnt16per,per0001,per0102,per0203,per0304,per0405,per0506,per0607,per0708,per0809,per0910,per1011,per1112,per1213,per1314,per1415,per1516,pop0001,pop0102,pop0203,pop0304,pop0405,pop0506,pop0607,pop0708,pop0809,pop0910,pop1011,pop1112,pop1213,pop1314,pop1415,pop1516,crshavg0206,crshavg0711,crshavg1216,avg0211,avg0716,avg0211per,avg0716per
Idaho,6,12,15,13,17,9,8,17,11,10,10,9,13,14,13,8,17,50,56,59,57,61,53,52,61,55,54,54,53,57,58,57,52,61,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,1571010,1584143,1595911,1612011,1633532,1652828,1683140,6,3,-2,4,-8,-1,9,-6,-1,0,-1,4,1,-1,-5,9,4.616979249,9.082858376,11.17610638,9.530030225,12.21511829,6.311971285,5.462939758,11.33904065,7.201281042,6.469138007,6.365331857,5.681305286,8.145817655,8.68480426,7.958215695,4.840189058,10.10016992,0.12,0.053571429,-0.033898305,0.070175439,-0.131147541,-0.018867925,0.173076923,-0.098360656,-0.018181818,0,-0.018518519,0.075471698,0.01754386,-0.017241379,-0.087719298,0.173076923,4.616979249,2.270714594,-1.490147517,2.932316992,-5.748290961,-0.701330143,6.145807228,-4.002014347,-0.654661913,0,-0.636533186,2.525024572,0.626601358,-0.620343161,-3.025118161,5.347148781,8.939233188,7.411219368,7.945839318,-1.528013819,0.534619949,-0.153735584,0.063560338
Illinois,187,185,191,189,156,165,139,171,135,112,115,134,138,124,123,150,148,289,287,293,291,258,267,241,273,237,214,217,236,240,226,225,252,250,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409,12841578,12860012,12870798,12879505,12867544,12839047,12801539,-2,6,-2,-33,9,-26,32,-36,-23,3,19,4,-14,-1,27,-2,15.0350006,14.79073154,15.20915091,15.00240396,12.33660425,13.01831432,10.92938196,13.3808921,10.51160037,8.675170554,8.955285713,10.41989696,10.72194591,9.627699201,9.558933702,11.68311012,11.56110996,-0.006920415,0.020905923,-0.006825939,-0.113402062,0.034883721,-0.097378277,0.132780083,-0.131868132,-0.097046414,0.014018692,0.087557604,0.016949153,-0.058333333,-0.004424779,0.12,-0.007936508,-0.160802145,0.479699401,-0.159258125,-2.619467358,0.711727168,-2.051370742,2.51611671,-2.817029916,-1.790865248,0.23237064,1.479568944,0.3110417,-1.087733643,-0.077642735,2.102959822,-0.156231216,13.29917108,10.38856914,10.63055978,-2.910601939,0.241990639,-0.203550396,0.021248555
Indiana,54,56,53,62,73,63,73,59,54,50,62,62,59,76,78,96,85,146,148,145,154,165,155,165,151,146,142,154,154,151,168,170,188,177,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113,6490528,6516480,6537743,6569102,6595233,6612768,6633053,2,-3,9,11,-10,10,-14,-5,-4,12,0,-3,17,2,18,-11,8.864594792,9.142906403,8.619277877,10.02945911,11.74680833,10.07497057,11.5841757,9.297029536,8.452941146,7.784387415,9.552381563,9.51433903,9.024521154,11.56931343,11.82672394,14.51737003,12.81461191,0.01369863,-0.02027027,0.062068966,0.071428571,-0.060606061,0.064516129,-0.084848485,-0.033112583,-0.02739726,0.084507042,0,-0.019480519,0.112582781,0.011904762,0.105882353,-0.058510638,0.328318326,-0.489798557,1.46365096,1.779420165,-1.609151826,1.599201679,-2.221622737,-0.787883859,-0.626143789,1.86825298,0,-0.460371243,2.600285756,0.304455617,2.722006881,-1.658361542,10.41093832,8.920215738,11.95050809,-1.49072258,3.030292356,-0.130639789,0.305466377
Iowa,25,19,19,18,24,24,25,23,17,21,18,25,20,20,19,25,22,124,118,118,117,123,123,124,122,116,120,117,124,119,119,118,124,121,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856,3050738,3065223,3076310,3091930,3108030,3121997,3134693,-6,0,-1,6,0,1,-2,-6,4,-3,7,-5,0,-1,6,-3,8.537714843,6.485916685,6.486270954,6.137481634,8.159496396,8.137110309,8.4334354,7.721439988,5.678047366,6.98171721,5.900211686,8.156013445,6.501295383,6.468451744,6.113197106,8.007695075,7.018231131,-0.048387097,0,-0.008474576,0.051282051,0,0.008130081,-0.016129032,-0.049180328,0.034482759,-0.025,0.05982906,-0.040322581,0,-0.008403361,0.050847458,-0.024193548,-2.049051562,0,-0.341382682,2.045827211,0,0.339046263,-0.674674832,-2.014288693,1.336011145,-0.997388173,2.294526767,-1.631202689,0,-0.323422587,1.921846818,-0.957031518,7.470758939,6.887485939,6.821774088,-0.583273,-0.065711851,-0.06885723,-0.008331153
Kansas,19,24,23,25,21,24,23,20,19,22,15,14,26,25,23,24,41,124,129,128,130,126,129,128,125,124,127,120,119,131,130,128,129,146,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747,2858850,2869503,2885262,2892821,2899360,2906721,2907289,5,-1,2,-4,3,-1,-3,-1,3,-7,-1,12,-1,-2,1,17,7.055826442,8.884098057,8.478956336,9.184575057,7.690152759,8.753466281,8.346336684,7.205685574,6.792081862,7.804886356,5.246864998,4.878893662,9.011313357,8.642083281,7.932785166,8.256726394,14.10248517,0.040322581,-0.007751938,0.015625,-0.030769231,0.023809524,-0.007751938,-0.0234375,-0.008,0.024193548,-0.05511811,-0.008333333,0.100840336,-0.007633588,-0.015384615,0.0078125,0.131782946,1.856796432,-0.370170752,0.737300551,-1.469532009,1.098593251,-0.364727762,-1.088652611,-0.360284279,1.072433978,-2.483372931,-0.349791,4.181908853,-0.346588975,-0.691366663,0.344030266,5.847371899,8.490697424,6.38568249,9.589078673,-2.105014933,3.203396183,-0.221797708,0.433730557
Kentucky,53,53,55,61,48,54,52,44,66,41,61,50,49,55,57,67,81,173,173,175,181,168,174,172,164,186,161,181,170,169,175,177,187,201,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113,4348662,4369354,4384799,4400477,4413057,4424611,4436974,0,2,6,-13,6,-2,-8,22,-25,20,-11,-1,6,2,10,14,13.08996536,13.02470196,13.4430613,14.81076096,11.57192554,12.91157745,12.32410305,10.33767061,15.39203872,9.503691721,14.02730311,11.44333922,11.17497062,12.49864503,12.91621658,15.14257412,18.25568507,0,0.011560694,0.034285714,-0.071823204,0.035714286,-0.011494253,-0.046511628,0.134146341,-0.134408602,0.124223602,-0.060773481,-0.005882353,0.035502959,0.011428571,0.056497175,0.07486631,0,0.491498187,1.466515778,-3.156391681,1.446490693,-0.478206572,-1.896015854,5.168835306,-5.830317699,4.635947181,-2.529513676,-0.228866784,1.368363749,0.454496183,2.260085689,3.155303592,13.01228566,12.14080868,13.99761828,-0.871476986,1.856809606,-0.062193778,0.141301015
Louisiana,100,99,103,93,103,113,97,111,107,108,77,90,119,97,105,102,127,164,163,167,157,167,177,161,175,171,172,141,154,183,161,169,166,191,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076,4544996,4575404,4603429,4626402,4647880,4668960,4681666,-1,4,-10,10,10,-16,14,-4,1,-31,13,29,-22,8,-3,25,22.3764757,22.19324895,23.0627926,20.78339545,22.94330531,25.12400252,22.87559426,25.36492356,24.03677132,24.04233588,16.94170908,19.67039413,25.85029551,20.96661725,22.59094469,21.84640691,27.12709535,-0.006097561,0.024539877,-0.05988024,0.063694268,0.05988024,-0.09039548,0.086956522,-0.022857143,0.005847953,-0.180232558,0.092198582,0.188311688,-0.120218579,0.049689441,-0.017751479,0.15060241,-0.223764757,0.896696927,-2.239106077,2.234773705,2.22750537,-3.557380887,3.301632162,-0.914051299,0.224642723,-6.901040855,2.860288546,6.33823811,-4.779046228,1.729205547,-0.64254138,5.3399794,22.95781803,22.01122679,23.67627194,-0.946591234,1.665045149,-0.039510745,0.072357948
Maine,15,12,14,13,10,9,10,10,12,11,12,10,9,11,9,19,17,31,28,30,29,26,25,26,26,28,27,28,26,25,27,25,35,33,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301,1327730,1328231,1328895,1329076,1330719,1329453,1331479,-3,2,-1,-3,-1,1,0,2,-1,1,-2,-1,2,-2,10,-2,11.74433982,9.34004052,10.81968379,9.976195263,7.64378144,6.861685947,7.604776712,7.591239103,9.093037688,8.344073167,9.03798212,7.528810877,6.772544106,8.27642663,6.763261064,14.29159211,12.76775676,-0.096774194,0.071428571,-0.033333333,-0.103448276,-0.038461538,0.04,0,0.076923077,-0.035714286,0.037037037,-0.071428571,-0.038461538,0.08,-0.074074074,0.4,-0.057142857,-2.348867963,1.55667342,-0.772834556,-2.302198907,-0.764378144,0.76240955,0,1.518247821,-0.757753141,0.758552106,-1.506330353,-0.752881088,1.505009801,-1.504804842,7.521890582,-1.50208903,8.58122463,8.319028591,9.774316133,-0.262196039,1.455287542,-0.027365608,0.156163009
Maryland,91,101,105,114,97,102,95,116,116,114,102,102,97,108,101,92,104,115,125,129,138,121,126,119,140,140,138,126,126,121,132,125,116,128,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478,5788584,5843603,5889651,5931129,5967295,5994983,6016447,10,4,9,-17,5,-7,21,0,-2,-12,0,-5,11,-7,-9,12,17.135608,18.79058231,19.30177927,20.73968637,17.5006256,18.27131833,16.92742021,20.58839503,20.49957101,20.00183175,17.62088967,17.45498454,16.4695667,18.20901215,16.92559191,15.34616529,17.28594966,0.086956522,0.032,0.069767442,-0.123188406,0.041322314,-0.055555556,0.176470588,0,-0.014285714,-0.086956522,0,-0.03968254,0.090909091,-0.053030303,-0.072,0.103448276,1.883033846,0.744181478,1.654438224,-3.092760248,0.902094103,-1.253914003,3.741850784,0,-0.35344088,-2.105455973,0,-0.855636497,1.867682822,-1.18021375,-1.5012553,1.994532654,18.54816596,19.2331344,16.84725714,0.684968441,-2.385877256,0.035040036,-0.11791931
Massachusetts,82,79,59,86,81,76,61,66,76,46,68,69,82,79,74,72,80,96,93,73,100,95,90,75,80,90,60,82,83,96,93,88,86,94,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587,6565524,6611923,6658008,6706786,6749911,6784240,6811779,-3,-20,27,-5,-5,-15,5,10,-30,22,1,13,-3,-5,-2,8,12.88697261,12.32116761,9.1600996,13.32995021,12.55564982,11.77741127,9.433380155,10.15497882,11.61441073,6.976475779,10.3571322,10.43569322,12.31599602,11.77911447,10.96310751,10.61283209,11.74436223,-0.03125,-0.215053763,0.369863014,-0.05,-0.052631579,-0.166666667,0.066666667,0.125,-0.333333333,0.366666667,0.012195122,0.156626506,-0.03125,-0.053763441,-0.022727273,0.093023256,-0.471474608,-3.119282939,4.191909986,-0.774997105,-0.775040112,-2.324489066,0.773227882,1.538633155,-4.584635816,3.336575372,0.152310768,1.966145099,-0.45058522,-0.745513574,-0.294800891,1.174436223,11.25129821,9.90773815,11.48308246,-1.343560061,1.575344314,-0.10966675,0.144424471
