"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"1",100001,10,1,1,14,0,0,55,0,8,1,19702,0,0,0,0,0,0,1,10,3,0,7,1,1,2005,0,38,8,0,1,2,1,2,1,39.64283056,-75.64404167,0,1,30,2,5,4,0,0,0,1,8,0,7,0,8,11,9
"2",100003,10,1,0,66,3,6,65,6,1,0,8028,0,0,0,0,0,0,0,1,3,0,4,1,9,2002,10,23,1,0,6,1,1,0,1,39.32183611,-75.60914167,0,1,43,1,5,4,0,0,0,1,8,0,7,0,15,12,16
"3",100004,10,1,0,4,0,0,70,6,30,1,19805,0,0,0,1,0,2003,0,1,5,0,1,1,11,2004,22,20,42,0,6,2,1,0,1,38.85222778,-75.50691944,0,1,46,1,5,4,0,0,0,0,8,0,7,0,15,12,16
"4",100009,10,2,0,63,3,2,50,4,1,0,19701,0,0,0,1,0,2001,0,1,5,0,3,2,8,2005,3,5,42,0,6,2,5,0,1,38.79218056,-75.43964722,0,1,41,1,5,4,0,0,0,0,8,0,7,0,34,11,35
"5",100010,10,2,0,50,3,21,50,6,12,0,19904,0,0,0,0,0,0,0,3,1,0,2,2,2,2004,16,25,12,2,1,1,1,0,1,39.13383611,-75.60653333,0,1,55,1,6,4,0,0,0,0,9,1,0,3,10,12,191
"6",100012,10,1,0,20,0,0,97,6,42,1,19711,0,3,3,5,0,2005,0,2,3,0,4,2,6,2002,9,40,12,5,1,1,1,0,1,39.62553889,-75.74388889,0,1,35,1,5,4,0,0,0,1,8,0,7,0,15,12,16
"7",100013,10,2,0,32,0,0,55,6,1,0,19962,0,0,0,0,0,0,0,2,3,490,1,2,23,2003,20,59,43,0,4,3,1,0,1,39.74090556,-75.53088056,0,1,85,1,5,4,0,0,0,0,8,1,0,47,10,12,2831
"8",100013,10,2,0,32,0,0,55,6,1,0,19962,0,0,0,0,0,0,0,2,3,490,1,2,23,2003,20,59,43,0,4,3,1,0,1,39.74090556,-75.53088056,0,1,25,1,5,4,0,0,0,0,8,1,0,4,30,15,271
"9",100016,10,1,0,4,0,0,50,6,1,1,19970,0,2,3,0,0,2003,0,3,3,0,2,3,10,2003,17,0,12,4,1,1,1,0,1,39.72841667,-75.59289722,0,1,17,1,6,4,0,0,0,0,8,0,7,0,14,12,15
"10",100018,10,1,0,4,0,0,45,6,42,0,19713,0,0,0,0,0,0,0,3,3,360,4,3,2,2005,23,37,12,4,1,2,1,0,1,39.65041944,-75.73256111,0,1,28,1,5,4,0,0,0,1,8,1,0,38,41,12,2322
"11",100020,10,1,0,4,0,0,50,6,1,1,19713,0,0,0,0,0,0,0,1,3,0,4,2,25,2004,1,37,43,0,6,2,1,1,1,39.41336944,-75.70371667,0,1,68,1,5,4,0,0,0,0,8,1,0,0,26,12,27
"12",100020,10,1,0,4,0,0,50,6,1,1,19713,0,0,0,0,0,0,0,1,3,0,4,2,25,2004,1,37,43,0,6,2,1,1,1,39.41336944,-75.70371667,0,1,47,1,5,4,0,0,0,1,8,0,7,0,1,2,2
"13",100021,10,1,0,80,0,0,45,6,11,0,19061,0,0,0,0,0,0,0,5,3,0,1,3,9,2003,20,17,12,4,1,2,1,0,1,39.62787778,-75.67058889,0,1,45,1,6,4,0,0,0,0,8,0,7,0,44,11,45
"14",100025,10,2,0,4,0,0,20,6,12,0,8070,0,0,0,0,0,0,1,2,1,0,7,2,25,2006,0,40,8,0,1,2,1,1,1,39.08819167,-75.72510278,0,1,28,2,5,4,0,0,0,1,8,0,7,0,20,12,21
