probability,volatility,vol.
0.23138833,0.99766612,volatility(acceleration: longitudinal direction)
0.17115428,0.65112561,volatility(acceleration: longitudinal direction)
0.22919852,0.98630983,volatility(acceleration: longitudinal direction)
0.18643244,0.7468279,volatility(acceleration: longitudinal direction)
0.17107968,0.65064222,volatility(acceleration: longitudinal direction)
0.20809054,0.87266111,volatility(acceleration: longitudinal direction)
0.19187061,0.77942389,volatility(acceleration: longitudinal direction)
0.20163138,0.83620769,volatility(acceleration: longitudinal direction)
0.20147727,0.83532739,volatility(acceleration: longitudinal direction)
0.20347431,0.84669602,volatility(acceleration: longitudinal direction)
0.21759915,0.92483908,volatility(acceleration: longitudinal direction)
0.18033631,0.70940459,volatility(acceleration: longitudinal direction)
0.21766043,0.92516989,volatility(acceleration: longitudinal direction)
0.26241076,1.151193,volatility(acceleration: longitudinal direction)
0.36911687,1.608493,volatility(acceleration: longitudinal direction)
0.14829186,0.49430749,volatility(acceleration: longitudinal direction)
0.30117393,1.327471,volatility(acceleration: longitudinal direction)
0.20957571,0.88092428,volatility(acceleration: longitudinal direction)
0.16010512,0.57760608,volatility(acceleration: longitudinal direction)
0.20470792,0.85367721,volatility(acceleration: longitudinal direction)
0.21677768,0.92039752,volatility(acceleration: longitudinal direction)
0.2340239,1.011235,volatility(acceleration: longitudinal direction)
0.20689267,0.86596471,volatility(acceleration: longitudinal direction)
0.20739989,0.86880368,volatility(acceleration: longitudinal direction)
0.17402427,0.6696009,volatility(acceleration: longitudinal direction)
0.28732121,1.266142,volatility(acceleration: longitudinal direction)
0.17061444,0.64762312,volatility(acceleration: longitudinal direction)
0.26242426,1.151257,volatility(acceleration: longitudinal direction)
0.18981153,0.7671662,volatility(acceleration: longitudinal direction)
0.26434779,1.1603709,volatility(acceleration: longitudinal direction)
0.14459184,0.4670954,volatility(acceleration: longitudinal direction)
0.20305984,0.84434342,volatility(acceleration: longitudinal direction)
0.18690941,0.74971581,volatility(acceleration: longitudinal direction)
0.20261294,0.84180272,volatility(acceleration: longitudinal direction)
0.13311101,0.37878871,volatility(acceleration: longitudinal direction)
0.13939534,0.42788261,volatility(acceleration: longitudinal direction)
0.16382982,0.60283238,volatility(acceleration: longitudinal direction)
0.31156465,1.372422,volatility(acceleration: longitudinal direction)
0.16671436,0.62205338,volatility(acceleration: longitudinal direction)
0.16899925,0.6370908,volatility(acceleration: longitudinal direction)
0.22358376,0.95683819,volatility(acceleration: longitudinal direction)
0.18933156,0.76429433,volatility(acceleration: longitudinal direction)
0.54445952,2.265131,volatility(acceleration: longitudinal direction)
0.14889674,0.49870259,volatility(acceleration: longitudinal direction)
0.40509507,1.747969,volatility(acceleration: longitudinal direction)
0.31837216,1.401426,volatility(acceleration: longitudinal direction)
0.1634274,0.60012931,volatility(acceleration: longitudinal direction)
0.16350754,0.60066801,volatility(acceleration: longitudinal direction)
0.2292468,0.986561,volatility(acceleration: longitudinal direction)
0.20045903,0.82949841,volatility(acceleration: longitudinal direction)
0.17870128,0.69920021,volatility(acceleration: longitudinal direction)
0.30523127,1.345125,volatility(acceleration: longitudinal direction)
0.2591511,1.135649,volatility(acceleration: longitudinal direction)
0.25028011,1.092689,volatility(acceleration: longitudinal direction)
0.21200535,0.89434999,volatility(acceleration: longitudinal direction)
0.15792739,0.56263632,volatility(acceleration: longitudinal direction)
0.21104619,0.88906342,volatility(acceleration: longitudinal direction)
0.22565544,0.96777272,volatility(acceleration: longitudinal direction)
0.15937099,0.57257819,volatility(acceleration: longitudinal direction)
0.15881175,0.56873548,volatility(acceleration: longitudinal direction)
0.32102013,1.412618,volatility(acceleration: longitudinal direction)
0.1484623,0.49554741,volatility(acceleration: longitudinal direction)
0.23851368,1.034108,volatility(acceleration: longitudinal direction)
0.24257863,1.054563,volatility(acceleration: longitudinal direction)
0.1726723,0.66092807,volatility(acceleration: longitudinal direction)
0.14807899,0.49275729,volatility(acceleration: longitudinal direction)
0.20568451,0.8591817,volatility(acceleration: longitudinal direction)
0.16421133,0.60539007,volatility(acceleration: longitudinal direction)
0.18540064,0.74056113,volatility(acceleration: longitudinal direction)
0.1463168,0.47985271,volatility(acceleration: longitudinal direction)
0.21219628,0.89540023,volatility(acceleration: longitudinal direction)
0.2460354,1.071775,volatility(acceleration: longitudinal direction)
0.19799076,0.81527579,volatility(acceleration: longitudinal direction)
0.24119399,1.047622,volatility(acceleration: longitudinal direction)
0.17842986,0.69749922,volatility(acceleration: longitudinal direction)
0.22214103,0.94918072,volatility(acceleration: longitudinal direction)
0.25549451,1.11806,volatility(acceleration: longitudinal direction)
0.21043366,0.88567811,volatility(acceleration: longitudinal direction)
0.22285043,0.95295042,volatility(acceleration: longitudinal direction)
0.18375313,0.73049867,volatility(acceleration: longitudinal direction)
0.23912472,1.0371979,volatility(acceleration: longitudinal direction)
0.21393694,0.90494353,volatility(acceleration: longitudinal direction)
0.17030172,0.64559019,volatility(acceleration: longitudinal direction)
0.17922539,0.70247912,volatility(acceleration: longitudinal direction)
0.19013974,0.76912677,volatility(acceleration: longitudinal direction)
0.16965523,0.64137793,volatility(acceleration: longitudinal direction)
0.16134998,0.58608937,volatility(acceleration: longitudinal direction)
0.27936691,1.230131,volatility(acceleration: longitudinal direction)
0.16396716,0.60375369,volatility(acceleration: longitudinal direction)
0.18147078,0.71644253,volatility(acceleration: longitudinal direction)
0.21513829,0.91149712,volatility(acceleration: longitudinal direction)
0.19772464,0.81373441,volatility(acceleration: longitudinal direction)
0.17809342,0.6953879,volatility(acceleration: longitudinal direction)
0.15603878,0.54951751,volatility(acceleration: longitudinal direction)
0.16576099,0.6157304,volatility(acceleration: longitudinal direction)
0.15379846,0.53378671,volatility(acceleration: longitudinal direction)
0.13459978,0.3905929,volatility(acceleration: longitudinal direction)
0.27794385,1.223623,volatility(acceleration: longitudinal direction)
0.15206926,0.5215162,volatility(acceleration: longitudinal direction)
0.13834026,0.419772,volatility(acceleration: longitudinal direction)
0.23151904,0.99834162,volatility(acceleration: longitudinal direction)
0.24264897,1.054915,volatility(acceleration: longitudinal direction)
0.16771078,0.62863117,volatility(acceleration: longitudinal direction)
0.17871647,0.69929528,volatility(acceleration: longitudinal direction)
0.16062033,0.58112347,volatility(acceleration: longitudinal direction)
0.18256801,0.72321701,volatility(acceleration: longitudinal direction)
0.18440364,0.73448008,volatility(acceleration: longitudinal direction)
0.23152314,0.99836278,volatility(acceleration: longitudinal direction)
0.20357732,0.8472802,volatility(acceleration: longitudinal direction)
0.19087426,0.77350527,volatility(acceleration: longitudinal direction)
